experiment_id,id_status,title,name,phase,created_at,status,decision,parent,successor,aliases,tags,data_market,data_order,data_transaction,base_model,objective,validation,baseline_score,score,delta,public_lb,conclusion,failure_reason,do_not_repeat,script_path,report_path,artifact_path,record_kind,evidence_state,ownership,route_id,failure_category,provenance_state,source_refs
B0,legacy,全0/常数基线 sanity check,constant-baseline,baseline,2026-08-10,superseded,NA,,,,sanity,,,,,cosine (全局),unknown,-,0 / -0.007,-,0 / -0.007,Δ=- → NA,,,,RESULTS.md,,model,superseded,historical,R01-table-baseline,none,historical,
B1,legacy,LightGBM 官方参数 90特征复刻,lgb-official,baseline,2026-08-10,completed,GREEN,,A1|A2|D1|E1-TW|F1|P0-01,,baseline|lightgbm,,,,,cosine (全局),unknown,-,0.130204,-,0.117 (官方),Δ=- → GREEN,,,scripts/b1_official_baseline.py,RESULTS.md,output/submissions/b1_official_lgb.csv,feature,validated,historical,R01-table-baseline,none,historical,
A1,legacy,CV 切分敏感性,cv-sensitivity,baseline,2026-08-10,completed,GREEN,B1,,,validation,,,,,cosine (全局),unknown,CV1 0.1302,CV2 0.1338/CV3 0.1352/CV4 0.1418,-,-,Δ=- → GREEN,,,scripts/03_exp_cv_splits.py,RESULTS.md,,model,validated,historical,R01-table-baseline,none,historical,
A2,legacy,特征数量 17 vs 90,feature-count,baseline,2026-08-10,completed,GREEN,B1,B1-LGO,,features,,,,,cosine (全局),unknown,0.0969,0.1302,+0.0333,-,Δ=+0.0333 → GREEN,,,scripts/04_exp_feat_count.py,RESULTS.md,,feature,validated,historical,R01-table-baseline,none,historical,
B1-LGO,legacy,特征组消融 LGO,feature-ablation,baseline,2026-08-10,completed,GREEN,A2,B2,,features,,,,,cosine (全局),unknown,0.130204,窗口-0.0102/盘口-0.0042/订单-0.0035/交叉-0.0003/成交-0.0000/EWM+0.0000,-,-,Δ=- → GREEN,,,scripts/05_exp_feature_ablation.py,RESULTS.md,,ablation,validated,historical,R01-table-baseline,none,historical,
B2,legacy,特征精简 90/84/77,feature-prune,baseline,2026-08-10,completed,GREEN,B1-LGO,C1-FE,,features,,,,,cosine (全局),unknown,0.130204,0.130237/0.129744,-0.0000,-,Δ=-0.0000 → GREEN,,,scripts/06_exp_feature_prune.py,RESULTS.md,,feature,validated,historical,R01-table-baseline,none,historical,
C1-FE,legacy,增强窗口特征 90→109,enhanced-windows,baseline,2026-08-10,completed,RED,B2,,,features,,,,,cosine (全局),unknown,0.130204,0.129760,-0.0004,-,不再盲目堆窗口统计特征,"特征工程到顶, 90 特征即甜点位",不再盲目堆窗口统计特征,scripts/07_exp_enhanced_windows.py,RESULTS.md,,feature,negative,historical,R01-table-baseline,model_saturation,historical,
D1,legacy,超参数单变量,hp-sweep,baseline,2026-08-10,completed,YELLOW,B1,,,lightgbm,,,,,cosine (全局),unknown,0.130204,0.130763,+0.0006 (leaves64),-,Δ=+0.0006 (leaves64) → YELLOW,,,scripts/08_exp_hp_sweep.py,RESULTS.md,,model,validated,historical,R01-table-baseline,none,historical,
E1-TW,legacy,时间衰减加权,time-decay,baseline,2026-08-10,completed,RED,B1,,,validation,,,,,cosine (全局),unknown,0.130204,0.125001~0.130161,-,-,不再试任何时间衰减加权,"全部无效或有害: 旧月份数据量价值更大, 漂移不是简单时间距离",不再试任何时间衰减加权,scripts/09_exp_time_weight.py,RESULTS.md,,model,negative,historical,R01-table-baseline,nonstationarity,historical,
F1,legacy,轻量 MLP (90特征),mlp-tabular,baseline,2026-08-10,completed,YELLOW,B1,F2|G1,,mlp,,,,,cosine (全局),unknown,0.130204,0.132065,+0.0019,-,loss 未收敛有空间,loss 未收敛有空间,,scripts/10_exp_mlp.py,RESULTS.md,,feature,validated,historical,R01-table-baseline,none,historical,
F2,legacy,MLP 30ep×3seed 集成,mlp-ensemble,baseline,2026-08-10,completed,GREEN,F1,,,mlp,,,,,cosine (全局),unknown,0.1321/0.1298/0.1287,0.133736,+0.0017,-,Δ=+0.0017 → GREEN,,,scripts/14_exp_mlp_ens.py,RESULTS.md,,model,validated,historical,R01-table-baseline,none,historical,
